house_id,house_location,house_type,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
54,Moreton_Bay_Mixed,R1,8,51.207549,1,10.675974,2.063678,5.173275,146.776174,163.853455,1.116349,12.615181,12.988593,1.0296,3,0.204421,0.418085,0,0.377494,0
55,Moreton_Bay_Mixed,R1,6,54.772246,1,13.528595,4.728821,2.860881,175.836627,182.422232,1.037453,11.439686,15.946437,1.393958,3,0.141248,0,0.363375,0,0.495377
56,Moreton_Bay_Mixed,R1,8,47.273849,1,8.886378,2.722563,3.263975,118.935126,139.280955,1.171067,12.447026,11.189898,1.112345,3,0.093244,0,0.415316,0,0.49144
57,Moreton_Bay_Mixed,R1,6,42.994251,1,9.755734,4.575683,2.132083,105.292696,111.69735,1.060827,12.706686,8.790439,1.445512,2,0,0,0.512223,0,0.487777
58,Moreton_Bay_Mixed,R1,6,50.465395,1,11.050268,5.77153,1.914617,135.656717,154.715792,1.140495,14.727382,10.505315,1.401898,2,0,0,0.450917,0,0.549083
59,Moreton_Bay_Mixed,R1,6,50.602478,1,12.724505,4.142988,3.071335,140.564703,152.728167,1.086533,9.946917,15.354322,1.543626,3,0.089107,0.462121,0,0.448773,0
60,Moreton_Bay_Mixed,R1,6,48.960721,1,12.280966,4.039274,3.04039,124.609366,137.338695,1.102154,8.707007,15.773354,1.81157,3,0.136175,0.421153,0,0.442673,0
61,Moreton_Bay_Mixed,R1,6,49.814872,1,11.237037,5.36792,2.093369,130.724121,154.640908,1.182956,11.779788,13.127647,1.114421,3,0.115913,0.456832,0,0.427255,0
62,Moreton_Bay_Mixed,R1,6,41.070529,1,9.460906,4.22927,2.237007,97.87123,103.082389,1.053245,11.797953,8.737311,1.350296,2,0,0,0.504279,0,0.495721
63,Moreton_Bay_Mixed,R1,6,44.955456,1,10.138351,4.846801,2.091761,110.882631,125.323592,1.130236,10.244646,12.233082,1.194095,2,0,0.524646,0,0.475354,0
