house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0,ratio_90,ratio_180,ratio_270
166,Moreton_Bay_Mixed,R2,2,10,63.97,0.9,10.76,2.14,5.04,197.74,253.71,1.28,17.43,14.56,1.2,7,0.08,0.17,0.22,0.24,0.29
167,Moreton_Bay_Mixed,R2,2,8,69.64,1,12.42,4.59,2.71,222.64,297.34,1.34,19.81,15.01,1.32,8,0,0.2,0.33,0.19,0.29
168,Moreton_Bay_Mixed,R2,2,8,54.42,1,11.91,2.27,5.26,165.16,184.5,1.12,12.84,14.37,1.12,7,0.1,0.24,0.22,0.23,0.21
169,Moreton_Bay_Mixed,R2,2,8,58.01,1,10.71,4.19,2.56,167.62,208.91,1.25,15.68,13.32,1.18,8,0,0.22,0.27,0.23,0.28
170,Moreton_Bay_Mixed,R2,2,6,50.96,1,10.98,6.01,1.83,133.05,162.18,1.22,12.39,13.09,1.06,6,0,0.28,0.26,0.25,0.22
171,Moreton_Bay_Mixed,R2,2,9,63.42,1,13.37,1.31,10.17,190.71,239.17,1.25,12.36,19.35,1.57,4,0,0.36,0.21,0.36,0.07
172,Moreton_Bay_Mixed,R2,2,6,66.92,1,15.08,7.23,2.08,214.96,273.25,1.27,14.15,19.31,1.36,8,0,0.32,0.28,0.17,0.24
173,Moreton_Bay_Mixed,R2,2,8,65.34,1,11.84,4.82,2.46,205.68,266.58,1.3,16.85,15.82,1.06,5,0,0.19,0.36,0.21,0.24
174,Moreton_Bay_Mixed,R2,2,8,82.11,1,16.73,4.37,3.83,271.08,382.07,1.41,19.03,20.07,1.05,8,0,0.26,0.24,0.25,0.25
175,Moreton_Bay_Mixed,R2,2,8,63.48,1,11.3,4.75,2.38,184.65,251.01,1.36,16.8,14.94,1.12,7,0,0.18,0.31,0.23,0.28
176,Moreton_Bay_Mixed,R2,2,8,53.31,1,10.53,3.06,3.44,153.77,177.04,1.15,14.11,12.55,1.12,6,0,0.21,0.23,0.27,0.29
177,Moreton_Bay_Mixed,R2,2,8,58.37,1,10.51,4.29,2.45,164.63,212.94,1.29,14.69,14.49,1.01,8,0,0.24,0.25,0.25,0.26
178,Moreton_Bay_Mixed,R2,2,8,61.84,1,11.13,4.41,2.53,178.89,237.75,1.33,16.57,14.35,1.15,7,0,0.18,0.29,0.21,0.32
179,Moreton_Bay_Mixed,R2,2,10,63.41,0.9,11.63,2,5.81,206.74,250.09,1.21,14.74,16.97,1.15,7,0.21,0.23,0.13,0.27,0.16
180,Moreton_Bay_Mixed,R2,2,8,67.8,1,12.36,4.76,2.6,203.4,287.27,1.41,16.87,17.03,1.01,5,0,0.2,0.23,0.26,0.32
181,Moreton_Bay_Mixed,R2,2,8,75.06,1,14.69,4.85,3.03,266.05,346.89,1.3,21.06,16.48,1.28,9,0.14,0.18,0.25,0.17,0.27
182,Moreton_Bay_Mixed,R2,2,10,60.6,0.9,10.34,2.99,3.46,172.83,224.49,1.3,17.38,12.92,1.34,7,0.11,0.19,0.26,0.19,0.25
183,Moreton_Bay_Mixed,R2,2,10,61.5,0.9,10.03,2.4,4.18,187.4,236.37,1.26,15.23,15.52,1.02,7,0.11,0.17,0.27,0.18,0.26
184,Moreton_Bay_Mixed,R2,2,10,57.59,0.9,11.56,1.25,9.28,168.19,207.28,1.23,14.56,14.24,1.02,7,0.11,0.24,0.2,0.26,0.19
185,Moreton_Bay_Mixed,R2,2,14,67.76,0.86,10.85,0.84,12.98,190.61,287.02,1.51,16.32,17.59,1.08,8,0.16,0.24,0.16,0.26,0.17
