house_id,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_rotation,vector,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,house_type
160,14,89.984,1,12.639000000000001,2.205,5.732,291.874,496.97,1.703,42.0,0.669,25.349,19.605,1.2930000000000001,R2
162,4,68.67699999999999,1,19.279,15.054,1.281,254.713,256.335,1.006,-80.0,-0.985,23.514,10.901,2.157,R2
163,14,55.475,1,8.375,1.067,7.852,140.006,192.824,1.3769999999999998,-42.0,-0.669,15.228,12.663,1.203,R2
164,16,76.633,1,10.850999999999999,0.342,31.708000000000002,290.795,363.251,1.249,10.0,0.174,20.906999999999996,17.374000000000002,1.203,R2
165,16,91.675,1,10.886,1.328,8.197000000000001,257.349,374.32199999999995,1.455,16.0,0.276,22.533,16.612000000000002,1.3559999999999999,R2
168,17,86.01,1,12.2,0.79,15.446,248.15200000000002,331.24300000000005,1.335,14.0,0.242,18.39,18.012,1.021,R2
169,8,82.35,1,20.62,2.293,8.994,362.74,389.704,1.074,-24.0,-0.40700000000000003,27.788,14.024000000000001,1.9809999999999999,R2
170,6,58.56100000000001,1,13.275,6.245,2.126,156.929,212.484,1.354,20.0,0.342,16.480999999999998,12.892000000000001,1.278,R2
171,10,51.468999999999994,1,9.323,0.764,12.208,138.38299999999998,156.111,1.128,58.0,0.848,16.656,9.373,1.777,R2
172,14,57.218999999999994,1,10.003,0.6970000000000001,14.357999999999999,135.24200000000002,201.958,1.493,-26.0,-0.43799999999999994,16.436,12.288,1.338,R2
173,10,62.935,1,11.805,2.076,5.686,204.06900000000002,247.763,1.214,-72.0,-0.951,17.657,14.032,1.258,R2
177,8,73.018,1,15.029000000000002,3.4130000000000003,4.404,282.91200000000003,325.999,1.1520000000000001,8.0,0.139,21.309,15.299000000000001,1.393,R2
178,8,41.893,1,8.801,1.9980000000000002,4.405,98.335,110.954,1.128,-66.0,-0.914,11.207,9.901,1.1320000000000001,R2
179,10,58.955,1,12.383,1.7269999999999999,7.169,178.56599999999997,210.942,1.181,-82.0,-0.99,18.158,11.617,1.5630000000000002,R2
180,6,59.791000000000004,1,14.140999999999998,5.789,2.443,209.06799999999998,226.075,1.081,-82.0,-0.99,16.007,14.123,1.133,R2
181,8,56.335,1,12.432,0.777,15.997,166.065,178.71599999999998,1.0759999999999998,-54.0,-0.809,19.21,9.302999999999999,2.065,R2
182,8,51.1,1,10.343,2.4730000000000003,4.1819999999999995,136.106,159.01,1.168,8.0,0.139,14.982000000000001,10.613,1.412,R2
183,6,72.985,1,17.135,7.193,2.3819999999999997,305.55,338.51800000000003,1.1079999999999999,-80.0,-0.985,18.783,18.023,1.042,R2
184,10,57.35,1,9.519,1.5930000000000002,5.976,150.766,205.88299999999998,1.3659999999999999,20.0,0.342,15.802,13.029000000000002,1.213,R2
185,10,55.31100000000001,1,9.301,2.025,4.593,137.476,189.32,1.3769999999999998,-68.0,-0.927,15.555,12.171,1.278,R2
186,4,59.483000000000004,1,17.052,12.686,1.344,178.327,179.632,1.0070000000000001,10.0,0.174,21.425,8.384,2.555,R2
187,6,51.35,1,12.72,4.396,2.8930000000000002,162.969,171.62900000000002,1.053,32.0,0.53,13.287,12.917,1.0290000000000001,R2
188,4,66.37899999999999,1,18.593,14.575,1.276,239.44400000000002,248.44400000000002,1.038,-82.0,-0.99,22.793000000000003,10.9,2.0909999999999997,R2
189,4,74.048,1,18.969,18.027,1.052,340.805,352.098,1.033,-82.0,-0.99,20.111,17.508,1.149,R2
190,4,38.719,1,9.771,9.586,1.0190000000000001,93.62299999999999,96.819,1.034,-10.0,-0.174,10.116,9.571,1.057,R2
194,8,48.57899999999999,1,10.581,1.4340000000000002,7.377000000000001,135.543,150.553,1.111,-32.0,-0.53,12.684000000000001,11.869000000000002,1.069,R2
195,6,53.783,1,11.502,6.426,1.79,140.016,183.88,1.3130000000000002,10.0,0.174,13.759,13.365,1.0290000000000001,R2
197,16,92.9,1,11.409,1.544,7.391,375.33,537.411,1.432,10.0,0.174,24.984,21.511,1.161,R2
200,16,76.27600000000001,1,13.592,0.787,17.276,249.21099999999998,322.529,1.294,-80.0,-0.985,23.712,13.602,1.743,R2
201,26,89.075,1,10.655,0.35100000000000003,30.391,352.866,391.916,1.111,-82.0,-0.99,27.45,14.277000000000001,1.923,R2
202,12,45.008,1,9.193999999999999,0.518,17.756,109.18799999999999,120.64299999999999,1.105,-80.0,-0.985,13.719000000000001,8.794,1.56,R2
203,8,56.59,1,11.802,3.503,3.37,157.39700000000002,192.976,1.226,70.0,0.94,17.771,10.859000000000002,1.636,R2
204,14,60.466,1,7.439,1.048,7.1,156.871,228.107,1.454,-22.0,-0.375,16.294,14.0,1.1640000000000001,R2
205,8,76.413,1,18.976,2.073,9.154,244.576,297.954,1.218,10.0,0.174,27.659000000000002,10.773,2.568,R2
