house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
92,Moreton_Bay_Mixed,R2,2,10,61.5,0.9,10.026,2.4,4.178,187.398,236.371,1.261,15.234,15.516,1.018,7,0.112,0.174,0.269,0.184,0.262
103,Moreton_Bay_Mixed,R2,2,6,66.921,1,15.076,7.231,2.085,214.964,273.248,1.271,14.151,19.309,1.364,8,0,0.315,0.279,0.17,0.236
153,Moreton_Bay_Mixed,R2,2,10,69.046,0.9,12.222,2.378,5.139,229.697,292.448,1.273,14.913,19.61,1.315,9,0.048,0.272,0.193,0.284,0.204
178,Moreton_Bay_Mixed,R2,2,12,80.747,0.833,12.53,2.278,5.5,226.999,291.118,1.282,14.112,20.63,1.462,8,0.115,0.264,0.14,0.284,0.197
109,Moreton_Bay_Mixed,R2,2,10,63.97,0.9,10.758,2.136,5.036,197.736,253.708,1.283,17.426,14.559,1.197,7,0.081,0.168,0.223,0.236,0.292
148,Moreton_Bay_Mixed,R2,2,10,68.391,0.9,12.925,0.82,15.763,227.738,292.332,1.284,17.152,17.044,1.006,7,0,0.292,0.24,0.295,0.172
157,Moreton_Bay_Mixed,R2,2,10,70.148,0.9,12.363,1.927,6.417,237.164,304.553,1.284,19.267,15.807,1.219,8,0,0.216,0.291,0.205,0.287
98,Moreton_Bay_Mixed,R2,2,8,58.371,1,10.51,4.285,2.453,164.634,212.94,1.293,14.691,14.494,1.014,8,0,0.239,0.252,0.247,0.263
149,Moreton_Bay_Mixed,R2,2,6,71.033,1,15.803,7.875,2.007,241.275,312.639,1.296,16.11,19.407,1.205,6,0,0.287,0.205,0.306,0.202
102,Moreton_Bay_Mixed,R2,2,8,65.342,1,11.843,4.822,2.456,205.678,266.584,1.296,16.848,15.823,1.065,5,0,0.188,0.365,0.209,0.238
93,Moreton_Bay_Mixed,R2,2,10,60.602,0.9,10.343,2.987,3.462,172.828,224.493,1.299,17.376,12.92,1.345,7,0.112,0.189,0.258,0.193,0.248
